"Id"|"Author"|"Title"|"Year"|"Comment"
"DeC1605"|"De Cervantes, Miguel"|"Don Quixote"|"1605"|"The story of the gentle knight and his servant Sancho Panza has entranced readers for centuries."
"Bun1678"|"Bunyan, John"|"Pilgrim's Progress"|"1678"|"The one with ""The Slough of Despond"" and ""Vanity Fair""."
"Def1719"|"Defoe, Daniel"|"Robinson Crusoe"|"1719"|"The first English novel."
"Swi1726"|"Swift, Jonathan"|"Gulliver's Travels"|"1726"|"A wonderful satire that still works for all ages, despite the savagery of Swift's vision."
"Fie1749"|"Fielding, Henry"|"Tom Jones"|"1749"|"The adventures of a high-spirited orphan boy: an unbeatable plot and a lot of adventure ending in a blissful marriage."
"Ric1748"|"Richardson, Samuel"|"Clarissa"|"1748"|"One of the longest novels in the English language, but unputdownable."
"Ste1759"|"Sterne, Laurence"|"Tristram Shandy"|"1759"|"One of the first bestsellers, dismissed by Dr Johnson as too fashionable for its own good."
"DeL1782"|"De Laclos, Pierre Choderlos"|"Dangerous Liaisons"|"1782"|"An epistolary novel and a handbook for seducers: foppish, French, and ferocious."
"Col1825"|"Colville, John"|"The Historie and Life of King James the Sext"|"1825"|"Being an account of the affairs of Scotland from the year 1566 to the year 1596; with a short continuation to the year 1617."
"Aus1815"|"Austen, Jane"|"Emma"|"1815"|"Near impossible choice between this and ""Pride and Prejudice"". But Emma never fails to fascinate and annoy."
"She1818"|"Shelley, Mary"|"Frankenstein"|"1818"|"Inspired by spending too much time with Shelley and Byron."
"Pea1818"|"Peacock, Thomas Love"|"Nightmare Abbey"|"1818"|"A classic miniature: a brilliant satire on the Romantic novel."
"DeB1842"|"De Balzac, Honore"|"The Black Sheep"|"1842"|"Two rivals fight for the love of a femme fatale. Wrongly overlooked."
"Dum1844"|"Dumas, Alexandre"|"The Count of Monte Cristo"|"1844"|"A revenge thriller also set in France after Bonaparte: a masterpiece of adventure writing."
"LeG1969"|"Le Guin, Ursula Kroeber"|"The Left Hand of Darkness"|"1969"|"How Le Guin handles a unisex race is one of the amazing parts of the book."
